feature,mean,median,mode,min,max,range,q1,q2_median,q3,iqr,sd,variance
housing_resilience_score,0.7574280074331581,0.7462313000974293,0.58515625,0.4963336388634281,0.988243697729099,0.49191005886567096,0.6687187145350202,0.7462313000974293,0.8591535801529139,0.1904348656178937,0.11771244121157351,0.01385621881598815
health_access_index,17.17892156862745,12,6,0,256,256,8,12,21,13,16.40549464005934,269.1402543850158
evacuation_capacity,0.422385835367282,0.12490146734604984,0,0,10.135135135135135,10.135135135135135,0.03169289100386641,0.12490146734604984,0.46937398573864886,0.43768109473478245,0.7808138257384445,0.6096702304643059
disaster_intensity_municipal,7.319222208395799,7.413042435578488,7.769391976133565,2.6102962376896492,11.849553983585917,9.239257745896268,5.849481685024735,7.413042435578488,8.779800883654714,2.930319198629979,1.869214607868024,3.4939632502672113
population_pressure,4.727212711000894,4.511876702750809,6.848046875,3.46256038647343,13.838931955211025,10.376371568737596,4.338907073281259,4.511876702750809,4.736988255328515,0.39808118204725584,0.9332109094678588,0.8708826015498282
vulnerability_index,4.8657398644763665,4.627878168734874,7.220798858972254,3.13948850112027,14.055350061938482,10.915861560818211,4.422439892042272,4.627878168734874,4.9157201044708625,0.49328021242859066,0.9951067651904609,0.990237474127823
impact_score,4.592952844742741,4.002942369997667,6.999304524076321,1.928745133632724,15.1501924409879,13.221447307355175,3.3797659510369007,4.002942369997667,5.062788763469529,1.683022812432628,2.0835792447935804,4.341302469334587
